Drug 1,Drug 2,Interaction Description
Propranolol,Furosemide,The risk or severity of adverse effects can be increased when Propranolol is combined with Furosemide.
Bromocriptine,Furosemide,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Furosemide.
Fluticasone Propionate,Furosemide,Fluticasone propionate may increase the hypokalemic activities of Furosemide.
Naproxen,Furosemide,Naproxen may decrease the diuretic activities of Furosemide.
Ibuprofen,Furosemide,Ibuprofen may decrease the diuretic activities of Furosemide.
Amiodarone,Furosemide,The risk or severity of adverse effects can be increased when Amiodarone is combined with Furosemide.
Fentanyl,Furosemide,The risk or severity of adverse effects can be increased when Fentanyl is combined with Furosemide.
Tramadol,Furosemide,The risk or severity of adverse effects can be increased when Tramadol is combined with Furosemide.
Aripiprazole,Furosemide,Aripiprazole may increase the hypotensive activities of Furosemide.
Morphine,Furosemide,The risk or severity of adverse effects can be increased when Morphine is combined with Furosemide.
Amlodipine,Furosemide,The risk or severity of adverse effects can be increased when Amlodipine is combined with Furosemide.
Enalapril,Furosemide,The risk or severity of adverse effects can be increased when Enalapril is combined with Furosemide.
Losartan,Furosemide,The risk or severity of adverse effects can be increased when Losartan is combined with Furosemide.
Warfarin,Prednisone,Warfarin may increase the anticoagulant activities of Prednisone.
Bromocriptine,Prednisone,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Prednisone.
Naproxen,Prednisone,The risk or severity of adverse effects can be increased when Naproxen is combined with Prednisone.
Ibuprofen,Prednisone,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Prednisone.
Pravastatin,Prednisone,The serum concentration of Prednisone can be increased when it is combined with Pravastatin.
Simvastatin,Prednisone,The serum concentration of Prednisone can be increased when it is combined with Simvastatin.
Rosuvastatin,Prednisone,The serum concentration of Prednisone can be increased when it is combined with Rosuvastatin.
Warfarin,Fluticasone Propionate,Warfarin may increase the anticoagulant activities of Fluticasone propionate.
Bromocriptine,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Fluticasone propionate.
Naproxen,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Naproxen is combined with Fluticasone propionate.
Ibuprofen,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Fluticasone propionate.
Quetiapine,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Quetiapine is combined with Fluticasone propionate.
Pravastatin,Fluticasone Propionate,The serum concentration of Fluticasone propionate can be increased when it is combined with Pravastatin.
Simvastatin,Fluticasone Propionate,The serum concentration of Fluticasone propionate can be increased when it is combined with Simvastatin.
Rosuvastatin,Fluticasone Propionate,The serum concentration of Fluticasone propionate can be increased when it is combined with Rosuvastatin.
Ondansetron,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Ondansetron is combined with Fluticasone propionate.
Fentanyl,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Fentanyl is combined with Fluticasone propionate.
Tramadol,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Tramadol is combined with Fluticasone propionate.
Aripiprazole,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Aripiprazole is combined with Fluticasone propionate.
Morphine,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Morphine is combined with Fluticasone propionate.
Olanzapine,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Olanzapine is combined with Fluticasone propionate.
Pregabalin,Fluticasone Propionate,The therapeutic efficacy of Fluticasone propionate can be increased when used in combination with Pregabalin.
Mirtazapine,Fluticasone Propionate,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Fluticasone propionate.
Trazodone,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Trazodone is combined with Fluticasone propionate.
Alprazolam,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Alprazolam is combined with Fluticasone propionate.
Lorazepam,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Lorazepam is combined with Fluticasone propionate.
Cetirizine,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Cetirizine is combined with Fluticasone propionate.
Lamotrigine,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Fluticasone propionate.
Cyclobenzaprine,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Fluticasone propionate.
Gabapentin,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Gabapentin is combined with Fluticasone propionate.
Diazepam,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Diazepam is combined with Fluticasone propionate.
Loratadine,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Loratadine is combined with Fluticasone propionate.
Risperidone,Fluticasone Propionate,The risk or severity of adverse effects can be increased when Risperidone is combined with Fluticasone propionate.
Atenolol,Hydrochlorothiazide,The risk or severity of adverse effects can be increased when Atenolol is combined with Hydrochlorothiazide.
Metoprolol,Hydrochlorothiazide,The risk or severity of adverse effects can be increased when Metoprolol is combined with Hydrochlorothiazide.
Furosemide,Hydrochlorothiazide,The risk or severity of adverse effects can be increased when Furosemide is combined with Hydrochlorothiazide.
Prednisone,Hydrochlorothiazide,Prednisone may increase the hypokalemic activities of Hydrochlorothiazide.
Chlorthalidone,Hydrochlorothiazide,The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Hydrochlorothiazide.
Propranolol,Hydrochlorothiazide,The risk or severity of adverse effects can be increased when Propranolol is combined with Hydrochlorothiazide.
Bromocriptine,Hydrochlorothiazide,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Hydrochlorothiazide.
Fluticasone Propionate,Hydrochlorothiazide,Fluticasone propionate may increase the hypokalemic activities of Hydrochlorothiazide.
Naproxen,Hydrochlorothiazide,The therapeutic efficacy of Hydrochlorothiazide can be decreased when used in combination with Naproxen.
Ibuprofen,Hydrochlorothiazide,The therapeutic efficacy of Hydrochlorothiazide can be decreased when used in combination with Ibuprofen.
Amiodarone,Hydrochlorothiazide,The risk or severity of adverse effects can be increased when Amiodarone is combined with Hydrochlorothiazide.
Amphetamine,Hydrochlorothiazide,Amphetamine may increase the hypotensive activities of Hydrochlorothiazide.
Sildenafil,Hydrochlorothiazide,Sildenafil may increase the antihypertensive activities of Hydrochlorothiazide.
Fentanyl,Hydrochlorothiazide,The risk or severity of adverse effects can be increased when Fentanyl is combined with Hydrochlorothiazide.
Tramadol,Hydrochlorothiazide,The risk or severity of adverse effects can be increased when Tramadol is combined with Hydrochlorothiazide.
Aripiprazole,Hydrochlorothiazide,Aripiprazole may increase the hypotensive activities of Hydrochlorothiazide.
Morphine,Hydrochlorothiazide,The risk or severity of adverse effects can be increased when Morphine is combined with Hydrochlorothiazide.
Amlodipine,Hydrochlorothiazide,The risk or severity of adverse effects can be increased when Amlodipine is combined with Hydrochlorothiazide.
Lisinopril,Hydrochlorothiazide,The risk or severity of adverse effects can be increased when Lisinopril is combined with Hydrochlorothiazide.
Enalapril,Hydrochlorothiazide,The risk or severity of adverse effects can be increased when Enalapril is combined with Hydrochlorothiazide.
Losartan,Hydrochlorothiazide,The risk or severity of adverse effects can be increased when Losartan is combined with Hydrochlorothiazide.
Bimatoprost,Hydrochlorothiazide,Bimatoprost may increase the hypotensive activities of Hydrochlorothiazide.
Latanoprost,Hydrochlorothiazide,Latanoprost may increase the hypotensive activities of Hydrochlorothiazide.
Allopurinol,Hydrochlorothiazide,The risk of a hypersensitivity reaction to Hydrochlorothiazide is increased when it is combined with Allopurinol.
Atenolol,Bimatoprost,Atenolol may increase the hypotensive activities of Bimatoprost.
Metoprolol,Bimatoprost,Metoprolol may increase the hypotensive activities of Bimatoprost.
Chlorthalidone,Bimatoprost,Chlorthalidone may increase the hypotensive activities of Bimatoprost.
Propranolol,Bimatoprost,Propranolol may increase the hypotensive activities of Bimatoprost.
Naproxen,Bimatoprost,The therapeutic efficacy of Bimatoprost can be decreased when used in combination with Naproxen.
Ibuprofen,Bimatoprost,The therapeutic efficacy of Bimatoprost can be decreased when used in combination with Ibuprofen.
Amphetamine,Bimatoprost,Amphetamine may increase the hypotensive activities of Bimatoprost.
Sildenafil,Bimatoprost,Sildenafil may increase the antihypertensive activities of Bimatoprost.
Amlodipine,Bimatoprost,Amlodipine may increase the hypotensive activities of Bimatoprost.
Lisinopril,Bimatoprost,Lisinopril may increase the hypotensive activities of Bimatoprost.
Enalapril,Bimatoprost,Enalapril may increase the hypotensive activities of Bimatoprost.
Losartan,Bimatoprost,Losartan may increase the hypotensive activities of Bimatoprost.
Metoprolol,Chlorthalidone,The risk or severity of adverse effects can be increased when Metoprolol is combined with Chlorthalidone.
Prednisone,Chlorthalidone,Prednisone may increase the hypokalemic activities of Chlorthalidone.
Bromocriptine,Chlorthalidone,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Chlorthalidone.
Fluticasone Propionate,Chlorthalidone,Fluticasone propionate may increase the hypokalemic activities of Chlorthalidone.
Naproxen,Chlorthalidone,The therapeutic efficacy of Chlorthalidone can be decreased when used in combination with Naproxen.
Ibuprofen,Chlorthalidone,The therapeutic efficacy of Chlorthalidone can be decreased when used in combination with Ibuprofen.
Amiodarone,Chlorthalidone,The risk or severity of adverse effects can be increased when Amiodarone is combined with Chlorthalidone.
Amphetamine,Chlorthalidone,Amphetamine may increase the hypotensive activities of Chlorthalidone.
Sildenafil,Chlorthalidone,Sildenafil may increase the antihypertensive activities of Chlorthalidone.
Fentanyl,Chlorthalidone,The risk or severity of adverse effects can be increased when Fentanyl is combined with Chlorthalidone.
Tramadol,Chlorthalidone,The risk or severity of adverse effects can be increased when Tramadol is combined with Chlorthalidone.
Aripiprazole,Chlorthalidone,Aripiprazole may increase the hypotensive activities of Chlorthalidone.
Morphine,Chlorthalidone,The risk or severity of adverse effects can be increased when Morphine is combined with Chlorthalidone.
Allopurinol,Chlorthalidone,The risk of a hypersensitivity reaction to Chlorthalidone is increased when it is combined with Allopurinol.
Atenolol,Latanoprost,Atenolol may increase the hypotensive activities of Latanoprost.
Metoprolol,Latanoprost,Metoprolol may increase the hypotensive activities of Latanoprost.
Chlorthalidone,Latanoprost,Chlorthalidone may increase the hypotensive activities of Latanoprost.
Propranolol,Latanoprost,Propranolol may increase the hypotensive activities of Latanoprost.
Naproxen,Latanoprost,The therapeutic efficacy of Latanoprost can be decreased when used in combination with Naproxen.
Ibuprofen,Latanoprost,The therapeutic efficacy of Latanoprost can be decreased when used in combination with Ibuprofen.
Amphetamine,Latanoprost,Amphetamine may increase the hypotensive activities of Latanoprost.
Sildenafil,Latanoprost,Sildenafil may increase the antihypertensive activities of Latanoprost.
Amlodipine,Latanoprost,Amlodipine may increase the hypotensive activities of Latanoprost.
Enalapril,Latanoprost,Enalapril may increase the hypotensive activities of Latanoprost.
Atenolol,Methylphenidate,Atenolol may decrease the antihypertensive activities of Methylphenidate.
Metoprolol,Methylphenidate,The serum concentration of Methylphenidate can be increased when it is combined with Metoprolol.
Chlorthalidone,Methylphenidate,Chlorthalidone may decrease the antihypertensive activities of Methylphenidate.
Hydrochlorothiazide,Methylphenidate,Hydrochlorothiazide may decrease the antihypertensive activities of Methylphenidate.
Carvedilol,Methylphenidate,Carvedilol may decrease the antihypertensive activities of Methylphenidate.
Propranolol,Methylphenidate,Propranolol may decrease the antihypertensive activities of Methylphenidate.
Warfarin,Methylphenidate,The serum concentration of Methylphenidate can be increased when it is combined with Warfarin.
Quetiapine,Methylphenidate,The risk or severity of adverse effects can be increased when Quetiapine is combined with Methylphenidate.
Ondansetron,Methylphenidate,The risk or severity of adverse effects can be increased when Ondansetron is combined with Methylphenidate.
Aripiprazole,Methylphenidate,The risk or severity of adverse effects can be increased when Aripiprazole is combined with Methylphenidate.
Amlodipine,Methylphenidate,Amlodipine may decrease the antihypertensive activities of Methylphenidate.
Lisinopril,Methylphenidate,Lisinopril may decrease the antihypertensive activities of Methylphenidate.
Enalapril,Methylphenidate,Enalapril may decrease the antihypertensive activities of Methylphenidate.
Losartan,Methylphenidate,Losartan may decrease the antihypertensive activities of Methylphenidate.
Esomeprazole,Methylphenidate,Esomeprazole can cause an increase in the absorption of Methylphenidate resulting in an increased serum concentration and potentially a worsening of adverse effects.
Omeprazole,Methylphenidate,Omeprazole can cause an increase in the absorption of Methylphenidate resulting in an increased serum concentration and potentially a worsening of adverse effects.
Ranitidine,Methylphenidate,Ranitidine can cause an increase in the absorption of Methylphenidate resulting in an increased serum concentration and potentially a worsening of adverse effects.
Olanzapine,Methylphenidate,The risk or severity of adverse effects can be increased when Olanzapine is combined with Methylphenidate.
Risperidone,Methylphenidate,The risk or severity of adverse effects can be increased when Risperidone is combined with Methylphenidate.
Bimatoprost,Methylphenidate,Bimatoprost may decrease the antihypertensive activities of Methylphenidate.
Latanoprost,Methylphenidate,Latanoprost may decrease the antihypertensive activities of Methylphenidate.
Atenolol,Venlafaxine,The serum concentration of Venlafaxine can be increased when it is combined with Atenolol.
Metoprolol,Venlafaxine,The serum concentration of Venlafaxine can be increased when it is combined with Metoprolol.
Ciprofloxacin,Venlafaxine,Ciprofloxacin may increase the QTc-prolonging activities of Venlafaxine.
Levofloxacin,Venlafaxine,Levofloxacin may increase the QTc-prolonging activities of Venlafaxine.
Prednisone,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Prednisone.
Chlorthalidone,Venlafaxine,Chlorthalidone may increase the hyponatremic activities of Venlafaxine.
Hydrochlorothiazide,Venlafaxine,Hydrochlorothiazide may increase the hyponatremic activities of Venlafaxine.
Carvedilol,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Carvedilol.
Propranolol,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Propranolol.
Rosiglitazone,Venlafaxine,Rosiglitazone may increase the hypoglycemic activities of Venlafaxine.
Pioglitazone,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Pioglitazone.
Metformin,Venlafaxine,Metformin may increase the hypoglycemic activities of Venlafaxine.
Fluticasone Propionate,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Fluticasone propionate.
Citalopram,Venlafaxine,Citalopram may increase the QTc-prolonging activities of Venlafaxine.
Fluoxetine,Venlafaxine,Fluoxetine may increase the QTc-prolonging activities of Venlafaxine.
Quetiapine,Venlafaxine,Quetiapine may increase the QTc-prolonging activities of Venlafaxine.
Escitalopram,Venlafaxine,Escitalopram may increase the QTc-prolonging activities of Venlafaxine.
Pravastatin,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Pravastatin.
Simvastatin,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Simvastatin.
Rosuvastatin,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Rosuvastatin.
Ondansetron,Venlafaxine,Ondansetron may increase the QTc-prolonging activities of Venlafaxine.
Amphetamine,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Amphetamine.
Fentanyl,Venlafaxine,The serum concentration of Venlafaxine can be increased when it is combined with Fentanyl.
Aripiprazole,Venlafaxine,The serum concentration of Venlafaxine can be increased when it is combined with Aripiprazole.
Morphine,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Morphine.
Amlodipine,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Amlodipine.
Enalapril,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Enalapril.
Losartan,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Losartan.
Esomeprazole,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Esomeprazole.
Omeprazole,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Omeprazole.
Ranitidine,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Ranitidine.
Olanzapine,Venlafaxine,Olanzapine may increase the serotonergic activities of Venlafaxine.
Clopidogrel,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Clopidogrel.
Pregabalin,Venlafaxine,The risk or severity of adverse effects can be increased when Pregabalin is combined with Venlafaxine.
Trazodone,Venlafaxine,Trazodone may increase the serotonergic activities of Venlafaxine.
Alprazolam,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Alprazolam.
Lorazepam,Venlafaxine,The risk or severity of adverse effects can be increased when Lorazepam is combined with Venlafaxine.
Cetirizine,Venlafaxine,The risk or severity of adverse effects can be increased when Cetirizine is combined with Venlafaxine.
Lamotrigine,Venlafaxine,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Venlafaxine.
Gabapentin,Venlafaxine,The risk or severity of adverse effects can be increased when Gabapentin is combined with Venlafaxine.
Diazepam,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Diazepam.
Loratadine,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Loratadine.
Risperidone,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Risperidone.
Cephalexin,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Cephalexin.
Bupropion,Venlafaxine,The serum concentration of Venlafaxine can be increased when it is combined with Bupropion.
Levothyroxine,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Levothyroxine.
Clonazepam,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Clonazepam.
Isosorbide Mononitrate,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Isosorbide mononitrate.
Metronidazole,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Metronidazole.
Methylphenidate,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Methylphenidate.
Levetiracetam,Venlafaxine,The risk or severity of adverse effects can be increased when Levetiracetam is combined with Venlafaxine.
Metoprolol,Lovastatin,The serum concentration of Lovastatin can be increased when it is combined with Metoprolol.
Prednisone,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Prednisone.
Tamoxifen,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Tamoxifen.
Carvedilol,Lovastatin,The serum concentration of Lovastatin can be increased when it is combined with Carvedilol.
Propranolol,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Propranolol.
Warfarin,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Warfarin.
Rosiglitazone,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Rosiglitazone.
Pioglitazone,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Pioglitazone.
Bromocriptine,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Bromocriptine.
Fluticasone Propionate,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Fluticasone propionate.
Naproxen,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Naproxen.
Ibuprofen,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Ibuprofen.
Citalopram,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Citalopram.
Fluoxetine,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Fluoxetine.
Quetiapine,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Quetiapine.
Escitalopram,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Escitalopram.
Pravastatin,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Pravastatin.
Simvastatin,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Simvastatin.
Rosuvastatin,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Rosuvastatin.
Ondansetron,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Ondansetron.
Sildenafil,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Sildenafil.
Fentanyl,Lovastatin,The serum concentration of Lovastatin can be increased when it is combined with Fentanyl.
Tramadol,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Tramadol.
Aripiprazole,Lovastatin,The serum concentration of Lovastatin can be increased when it is combined with Aripiprazole.
Morphine,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Morphine.
Amlodipine,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Amlodipine.
Losartan,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Losartan.
Esomeprazole,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Esomeprazole.
Omeprazole,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Omeprazole.
Clopidogrel,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Clopidogrel.
Pregabalin,Lovastatin,The risk or severity of adverse effects can be increased when Pregabalin is combined with Lovastatin.
Mirtazapine,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Mirtazapine.
Trazodone,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Trazodone.
Alprazolam,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Alprazolam.
Lamotrigine,Lovastatin,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Lovastatin.
Cyclobenzaprine,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Cyclobenzaprine.
Gabapentin,Lovastatin,The risk or severity of adverse effects can be increased when Gabapentin is combined with Lovastatin.
Diazepam,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Diazepam.
Loratadine,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Loratadine.
Risperidone,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Risperidone.
Venlafaxine,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Venlafaxine.
Sertraline,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Sertraline.
Cephalexin,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Cephalexin.
Bupropion,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Bupropion.
Levothyroxine,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Levothyroxine.
Clonazepam,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Clonazepam.
Isosorbide Mononitrate,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Isosorbide mononitrate.
Metronidazole,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Metronidazole.
Metoprolol,Amiodarone,The serum concentration of Amiodarone can be increased when it is combined with Metoprolol.
Prednisone,Amiodarone,The serum concentration of Amiodarone can be increased when it is combined with Prednisone.
Tamoxifen,Amiodarone,The serum concentration of Amiodarone can be increased when it is combined with Tamoxifen.
Carvedilol,Amiodarone,The serum concentration of Amiodarone can be increased when it is combined with Carvedilol.
Warfarin,Amiodarone,Warfarin may increase the anticoagulant activities of Amiodarone.
Rosiglitazone,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Rosiglitazone.
Pioglitazone,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Pioglitazone.
Bromocriptine,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Bromocriptine.
Fluticasone Propionate,Amiodarone,The serum concentration of Amiodarone can be increased when it is combined with Fluticasone propionate.
Naproxen,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Naproxen.
Ibuprofen,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Ibuprofen.
Citalopram,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Citalopram.
Fluoxetine,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Fluoxetine.
Lovastatin,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Lovastatin.
Quetiapine,Amiodarone,The serum concentration of Amiodarone can be increased when it is combined with Quetiapine.
Escitalopram,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Escitalopram.
Pravastatin,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Pravastatin.
Simvastatin,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Simvastatin.
Rosuvastatin,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Rosuvastatin.
Ondansetron,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Ondansetron.
Amphetamine,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Amphetamine.
Sildenafil,Amiodarone,The serum concentration of Amiodarone can be increased when it is combined with Sildenafil.
Fentanyl,Amiodarone,The serum concentration of Amiodarone can be increased when it is combined with Fentanyl.
Tramadol,Amiodarone,The serum concentration of Amiodarone can be increased when it is combined with Tramadol.
Aripiprazole,Amiodarone,The serum concentration of Amiodarone can be increased when it is combined with Aripiprazole.
Morphine,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Morphine.
Amlodipine,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Amlodipine.
Enalapril,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Enalapril.
Losartan,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Losartan.
Esomeprazole,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Esomeprazole.
Omeprazole,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Omeprazole.
Ranitidine,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Ranitidine.
Mirtazapine,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Mirtazapine.
Trazodone,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Trazodone.
Alprazolam,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Alprazolam.
Cyclobenzaprine,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Cyclobenzaprine.
Diazepam,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Diazepam.
Loratadine,Amiodarone,The serum concentration of Amiodarone can be increased when it is combined with Loratadine.
Venlafaxine,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Venlafaxine.
Sertraline,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Sertraline.
Cephalexin,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Cephalexin.
Atorvastatin,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Atorvastatin.
Bupropion,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Bupropion.
Levothyroxine,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Levothyroxine.
Clonazepam,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Clonazepam.
Isosorbide Mononitrate,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Isosorbide mononitrate.
